month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link,Total Tweet Count
9_2021,2077,109,11,1957,368,236,7500,98,"$62,225,034.58",19249.8027,5001,11843,5254.16,1.6254,76,2439
11_2021,2901,346,172,2383,2141,2333,22518,469,"$24,838,469.91",5547.1741,653,1029,24138.45,5.3908,824,5095
12_2021,2635,263,268,2104,1654,1943,17800,369,"$17,237,622.63",4279.0417,841,1251,13779.07,3.4205,667,4273
1_2022,1599,186,129,1284,1721,1739,14151,349,"$11,985,693.38",3896.2358,754,1021,11739.17,3.8161,299,3410
2_2022,606,22,36,548,286,223,3338,125,"$3,979,122.44",1378.0411,365,442,9002.54,3.1177,34,1835
