month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH)
1_2022,6206,2364,536,3306,16445,19939,83641,1454,"$219,780,129.35",78822.6175,9131,18070,12162.71,4.3621
2_2022,9728,3759,590,5379,80064,59273,198834,5126,"$16,203,271.94",6156.4938,390,495,32733.88,12.4374
