month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link
8_2021,19632,3975,8071,7586,1315,493,4567,97,"$27,051,891.78",7999.9319,1605,4497,6015.54,1.7789,17851
9_2021,38535,18941,5514,14080,43690,26754,63335,6899,"$222,124,336.56",58692.9387,2026,4742,46841.91,12.3773,14678
10_2021,22089,5606,7615,8868,4054,2698,10738,309,"$12,067,837.96",3323.9868,280,545,22142.82,6.0991,17614
11_2021,16064,3473,7881,4710,4835,1113,17059,300,"$4,594,758.08",1038.2583,156,290,15843.99,3.5802,12813
12_2021,10653,3454,2036,5163,4768,1249,19538,338,"$4,326,248.47",1055.1636,175,384,11266.27,2.7478,7503
1_2022,14880,4111,887,9882,3097,1317,11855,320,"$6,043,281.43",1890.2464,235,452,13370.09,4.182,6698
2_2022,12164,4704,1230,6230,3998,1660,10743,393,"$1,688,894.70",597.5065,102,223,7573.52,2.6794,9192
