month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link
12_2021,7423,3407,638,3378,20562,27239,122816,2216,"$187,520,266.87",48430.5765,3793,6560,28585.41,7.3827,3371
1_2022,7585,3147,629,3809,20529,34723,146326,3714,"$157,945,218.25",55921.0103,2950,4890,32299.64,11.4358,3458
2_2022,8261,3530,653,4078,37489,44849,169385,3203,"$102,536,722.00",35668.7858,1276,1972,51996.31,18.0876,3798
