month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link
10_2021,8462,2047,613,5802,17949,8830,85391,739,"$55,951,866.82",14253.8743,5300,9314,6007.29,1.5304,4518
11_2021,11448,2635,723,8090,18302,13146,100694,1272,"$50,596,485.53",11652.0014,2601,4181,12101.53,2.7869,4960
12_2021,12056,3926,820,7310,28926,19946,131107,2498,"$45,819,592.67",11700.8913,1622,2404,19059.73,4.8673,6534
1_2022,20817,6458,1374,12985,62425,45546,217809,5384,"$112,155,330.37",35237.2931,1844,2714,41324.73,12.9835,13552
2_2022,14799,5997,1439,7363,43340,24323,208681,6149,"$33,303,763.02",11747.7337,658,792,42050.21,14.833,10927
