month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),Total Tweet Count
7_2021,208,126,8,74,1258,952,3431,165,"$1,480,683.71",636.7285,1366,4072,363.63,0.1564,2378
8_2021,4597,2313,208,2076,9437,8616,49208,876,"$45,787,732.05",14678.8791,4125,10241,4471.02,1.4333,15550
9_2021,2194,1366,98,730,5213,4486,29973,509,"$17,926,138.16",5429.0698,1082,1802,9947.91,3.0128,7744
10_2021,1268,747,83,438,4144,3544,26353,518,"$9,499,657.73",2563.9654,601,879,10807.35,2.9169,5773
11_2021,975,623,51,301,2383,2217,16763,335,"$7,794,493.38",1769.5404,527,743,10490.57,2.3816,3311
12_2021,1494,380,77,1037,1587,1768,14717,300,"$5,779,506.00",1443.2324,426,596,9697.16,2.4215,3083
1_2022,3151,1607,233,1311,7812,9485,59090,1224,"$69,562,125.58",22060.517,1877,3135,22188.88,7.0368,10864
2_2022,7492,5886,183,1423,12926,6347,40969,2282,"$22,972,125.30",7892.8471,460,766,29989.72,10.304,17015
