,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Total Tweet Count
Pearson USD,0.7175887646266862,0.7643391330596702,0.601181186516522,0.3554667385950019,0.6967402640569884,0.49452960047573835,0.5750911103198738,0.874922497191214,0.5811726416049466
Spearman USD,0.4523809523809524,0.5714285714285715,0.4761904761904762,0.28571428571428575,0.5714285714285715,0.523809523809524,0.523809523809524,0.7380952380952381,0.5714285714285715
Pearson ETH,0.7776147253525717,0.8243022814698652,0.6316025352946333,0.3986742369485058,0.7595878111452883,0.5317025471420586,0.5973147696987718,0.9233567417349717,0.6502747832650785
Spearman ETH,0.6190476190476191,0.6190476190476191,0.5952380952380953,0.4285714285714286,0.6190476190476191,0.5714285714285715,0.5714285714285715,0.7142857142857144,0.6190476190476191
