,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,media_link,Total Tweet Counts
Pearson USD,-0.1309724565774675,-0.13310034805969367,-0.10879998975038521,-0.13457489584251472,-0.08743426435381205,-0.12065973538313744,-0.11823141159074814,-0.2010682657861154,-0.14120574181007114,-0.10329438772550488
Spearman USD,0.0642228862990377,0.08276408817690652,0.0511766315719159,-0.023262105259961773,0.051298917604257706,-0.07339758434175737,0.009174698042719672,-0.2744928420675489,-0.06048147367590061,0.0642228862990377
Pearson ETH,-0.165318101097249,-0.16487807342860353,-0.14247853718507758,-0.17187846579634564,-0.10783841677352009,-0.14011863162755753,-0.14105794236374378,-0.21598603498821972,-0.1689775753002043,-0.14754417032464998
Spearman ETH,-0.21101805498255247,-0.1747241861512471,-0.1023532631438318,-0.288450105223526,-0.19586859448898397,-0.3211144314951885,-0.27524094128159016,-0.4652421051992354,-0.2698404210155566,-0.21101805498255247
