,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,media_link,Total Tweet Count
Pearson USD,0.9290886052280014,0.8766046026841153,0.9104448295283502,0.9678508966740382,0.9616415230389153,0.9186424001210243,0.9411103431376296,0.9235299995632021,0.9169949805346177,0.8790917852717083
Spearman USD,0.9545454545454546,0.9545454545454546,0.9727272727272729,0.9727272727272729,0.9727272727272729,0.9454545454545454,0.9545454545454546,0.9363636363636365,0.9818181818181818,0.9454545454545454
Pearson ETH,0.9481936125351509,0.9060110161441184,0.9497808191711993,0.9666141644021716,0.9783771662078459,0.913790855352067,0.9033472382140819,0.9334785949357589,0.9749512082447385,0.9609159231902386
Spearman ETH,0.9727272727272729,0.9727272727272729,0.9545454545454546,0.9818181818181818,0.990909090909091,0.9636363636363637,0.9636363636363637,0.9636363636363637,0.990909090909091,0.9727272727272729
