Name,Month,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH)
CyberKongz,21-Nov,"$19,195,148.91 ",4303.8495,397,458,"$41,910.81 ",9.3971
CyberKongz,21-Dec,"$18,008,377.14 ",4440.7117,463,570,"$31,593.64 ",7.7907
CyberKongz,22-Jan,"$28,151,461.03 ",9587.3516,640,812,"$34,669.29 ",11.8071
CyberKongz,22-Feb,"$7,800,186.78 ",2711.9398,246,292,"$26,712.97 ",9.2875
CyberKongz,22-Mar,"$1,169,926.65 ",423.4443,33,41,"$28,534.80 ",10.3279
World Of Women,21-Jul,"$1,480,683.71 ",636.7285,1366,4072,$363.63 ,0.1564
World Of Women,21-Aug,"$45,787,732.05 ",14678.8791,4125,10241,"$4,471.02 ",1.4333
World Of Women,21-Sep,"$17,926,138.16 ",5429.0698,1082,1802,"$9,947.91 ",3.0128
World Of Women,21-Oct,"$9,499,657.73 ",2563.9654,601,879,"$10,807.35 ",2.9169
World Of Women,21-Nov,"$7,794,493.38 ",1769.5404,527,743,"$10,490.57 ",2.3816
World Of Women,21-Dec,"$5,779,506.00 ",1443.2324,426,596,"$9,697.16 ",2.4215
World Of Women,22-Jan,"$69,562,125.58 ",22060.517,1877,3135,"$22,188.88 ",7.0368
World Of Women,22-Feb,"$22,972,125.30 ",7892.8471,460,766,"$29,989.72 ",10.304
World Of Women,22-Mar,"$2,815,333.67 ",1030.9546,59,122,"$23,076.51 ",8.4504
